순위,커버아트,제목,아티스트,좋아요수
1,https://cdnimg.melon.co.kr/cm2/album/images/121/60/000/12160000_20251014164646_500.jpg/melon/resize/120/quality/80/optimize,Good Goodbye,화사 (HWASA),72897
2,https://cdnimg.melon.co.kr/cm2/album/images/121/63/032/12163032_20251015164500_500.jpg/melon/resize/120/quality/80/optimize,타임캡슐,다비치,44001
3,https://cdnimg.melon.co.kr/cm2/album/images/121/49/391/12149391_20251013150421_500.jpg/melon/resize/120/quality/80/optimize,Blue Valentine,NMIXX,94145
4,https://cdnimg.melon.co.kr/cm2/album/images/123/92/184/12392184_20251117102938_500.jpg/melon/resize/120/quality/80/optimize,ONE MORE TIME,ALLDAY PROJECT,40161
5,https://cdnimg.melon.co.kr/cm/album/images/022/19/671/2219671_500.jpg/melon/resize/120/quality/80/optimize,첫 눈,EXO,311660
6,https://cdnimg.melon.co.kr/cm2/album/images/118/59/863/11859863_20250620104512_500.jpg/melon/resize/120/quality/80/optimize,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",187078
7,https://cdnimg.melon.co.kr/cm2/album/images/121/75/901/12175901_20251024094040_500.jpg/melon/resize/120/quality/80/optimize,SPAGHETTI (feat. j-hope of BTS),"LE SSERAFIM (르세라핌), j-hope",34448
8,https://cdnimg.melon.co.kr/cm2/album/images/111/83/506/11183506_20230426141236_500.jpg/melon/resize/120/quality/80/optimize,Drowning,WOODZ,272086
9,https://cdnimg.melon.co.kr/cm2/album/images/118/91/198/11891198_20250714145747_500.jpg/melon/resize/120/quality/80/optimize,멸종위기사랑,이찬혁,63891
10,https://cdnimg.melon.co.kr/cm2/album/images/121/76/812/12176812_20251024184132_500.jpg/melon/resize/120/quality/80/optimize,달리 표현할 수 없어요,로이킴,27671
11,https://cdnimg.melon.co.kr/cm2/album/images/117/56/010/11756010_20250331135525_500.jpg/melon/resize/120/quality/80/optimize,어제보다 슬픈 오늘,우디 (Woody),72769
12,https://cdnimg.melon.co.kr/cm2/album/images/118/90/480/11890480_20250711095238_500.jpg/melon/resize/120/quality/80/optimize,뛰어(JUMP),BLACKPINK,88534
13,https://cdnimg.melon.co.kr/cm2/album/images/116/85/729/11685729_20250106160640_500.jpg/melon/resize/120/quality/80/optimize,모르시나요(PROD.로코베리),조째즈,100364
14,https://cdnimg.melon.co.kr/cm2/album/images/118/57/160/11857160_20250623154620_500.jpg/melon/resize/120/quality/80/optimize,FAMOUS,ALLDAY PROJECT,124380
15,https://cdnimg.melon.co.kr/cm2/album/images/118/59/863/11859863_20250620104512_500.jpg/melon/resize/120/quality/80/optimize,Soda Pop,"KPop Demon Hunters Cast, Danny Chung, Saja Boys, Andrew Choi, Neckwav, Kevin Woo, samUIL Lee",114290
16,https://cdnimg.melon.co.kr/cm2/album/images/113/12/872/11312872_20230823162414_500.jpg/melon/resize/120/quality/80/optimize,사랑하게 될 거야,한로로,62723
17,https://cdnimg.melon.co.kr/cm2/album/images/120/75/661/12075661_20250826180135_500.jpg/melon/resize/120/quality/80/optimize,한번 더 이별,이창섭,28881
18,https://cdnimg.melon.co.kr/cm2/album/images/120/12/550/12012550_20250807172740_500.jpg/melon/resize/120/quality/80/optimize,시작의 아이 ❍,"박다혜, 마크툽 (MAKTUB)",61640
19,https://cdnimg.melon.co.kr/cm2/album/images/103/31/947/10331947_500.jpg/melon/resize/120/quality/80/optimize,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),490291
20,https://cdnimg.melon.co.kr/cm2/album/images/116/16/312/11616312_20241015135802_500.jpg/melon/resize/120/quality/80/optimize,내게 사랑이 뭐냐고 물어본다면,로이킴,88529
21,https://cdnimg.melon.co.kr/cm2/album/images/116/47/670/11647670_20241121150855_500.jpg/melon/resize/120/quality/80/optimize,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,224976
22,https://cdnimg.melon.co.kr/cm2/album/images/116/59/696/11659696_20241205141243_500.jpg/melon/resize/120/quality/80/optimize,toxic till the end,로제 (ROSÉ),136437
23,https://cdnimg.melon.co.kr/cm2/album/images/117/30/411/11730411_20250306095101_500.jpg/melon/resize/120/quality/80/optimize,너에게 닿기를,10CM,138286
24,https://cdnimg.melon.co.kr/cm2/album/images/121/00/141/12100141_20250905110500_500.jpg/melon/resize/120/quality/80/optimize,IRIS OUT,Kenshi Yonezu,63087
25,https://cdnimg.melon.co.kr/cm2/album/images/114/21/941/11421941_20240220105008_500.jpg/melon/resize/120/quality/80/optimize,천상연,이창섭,140385
26,https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/120/quality/80/optimize,너의 모든 순간,성시경,314408
